,Unnamed: 0,country,GDPper_cap,Insufficiently_active,Percent_Obese,HDI,Region_Africa,Region_Arab_States,Region_Asia_Pacific,Region_CIS,Region_Europe,Region_North_America,Region_Latin_America,Region_Unknown,"Globalisation Index, overall",Globalization_index,Urban_Population,Urbanization_Rate,Imports,Imports_
59,61,Turkmenistan,17500,31.1,20.1,0.691,0,0,0,1,0,0,0,0,37.43,37.43,50.0,1.94,7467000000.0,7467000000.0
60,62,Azerbaijan,17400,24.5,22.5,0.759,0,0,0,1,0,0,0,0,59.29,59.29,54.6,1.56,7741000000.0,7741000000.0
61,63,Barbados,17100,37.6,31.3,0.795,0,0,0,0,0,0,1,0,61.04,61.04,31.5,0.13,1575000000.0,1575000000.0
62,64,Botswana,17000,27.2,22.4,0.698,1,0,0,0,0,0,0,0,59.09,59.09,57.4,1.29,7194000000.0,7194000000.0
63,65,Thailand,16900,14.8,8.5,0.74,0,0,1,0,0,0,0,0,68.15,68.15,50.4,2.97,171300000000.0,171300000000.0
64,66,Montenegro,16600,24.5,20.0,0.807,0,0,0,0,1,0,0,0,62.22,62.22,64.0,0.34,1982000000.0,1982000000.0
65,67,Costa Rica,16400,32.4,24.3,0.7759999999999999,0,0,0,0,0,0,1,0,67.67,67.67,76.8,2.74,16340000000.0,16340000000.0
66,68,Dominican Republic,16000,35.9,23.9,0.722,0,0,0,0,0,0,1,0,61.52,61.52,79.0,2.6,16670000000.0,16670000000.0
67,69,Maldives,15500,30.7,7.9,0.701,0,0,1,0,0,0,0,0,47.95,47.95,45.5,4.49,1993000000.0,1993000000.0
68,70,Palau,15400,25.2,47.6,0.7879999999999999,0,0,1,0,0,0,0,0,43.44,43.44,87.1,1.66,177700000.0,177700000.0
69,71,China,15400,24.1,6.9,0.738,0,0,1,0,0,0,0,0,61.23,61.23,55.6,3.05,1437000000000.0,1437000000000.0
70,72,Brazil,15200,27.8,20.0,0.754,0,0,0,0,0,0,1,0,59.64,59.64,85.7,1.17,143900000000.0,143900000000.0
71,73,Algeria,15000,34.4,24.8,0.745,0,1,0,0,0,0,0,0,53.18,53.18,70.7,2.77,44600000000.0,44600000000.0
72,74,Serbia,14500,38.7,19.5,0.7759999999999999,0,0,0,0,1,0,0,0,73.97,73.97,55.6,-0.34,17370000000.0,17370000000.0
73,75,Colombia,14100,63.6,21.0,0.727,0,0,0,0,0,0,1,0,61.68,61.68,76.4,1.66,47150000000.0,47150000000.0
74,76,Grenada,14100,30.5,26.2,0.754,0,0,0,0,0,0,1,0,49.9,49.9,35.6,0.33,313700000.0,313700000.0
75,77,Suriname,14000,32.4,26.1,0.725,0,0,0,0,0,0,1,0,45.76,45.76,66.0,0.78,1914000000.0,1914000000.0
76,78,South Africa,13200,46.9,26.8,0.6659999999999999,1,0,0,0,0,0,0,0,68.63,68.63,64.8,1.59,85030000000.0,85030000000.0
77,79,Peru,12900,32.4,21.1,0.74,0,0,0,0,0,0,1,0,67.98,67.98,78.6,1.69,38350000000.0,38350000000.0
78,80,Egypt,12600,32.3,28.9,0.691,0,1,0,0,0,0,0,0,60.87,60.87,43.1,1.68,50070000000.0,50070000000.0
79,81,Mongolia,12300,21.4,16.7,0.735,0,0,1,0,0,0,0,0,65.12,65.12,72.0,2.78,3003000000.0,3003000000.0
80,82,Jordan,12300,15.6,30.5,0.741,0,1,0,0,0,0,0,0,74.31,74.31,83.7,3.79,17860000000.0,17860000000.0
81,83,Sri Lanka,12300,23.8,6.5,0.7659999999999999,0,0,1,0,0,0,0,0,55.25,55.25,18.4,0.72,18640000000.0,18640000000.0
82,84,Cuba,11900,32.4,25.2,0.775,0,0,0,0,0,0,1,0,56.39,56.39,77.1,0.07,12340000000.0,12340000000.0
83,85,Albania,11800,24.5,17.6,0.764,0,0,0,0,1,0,0,0,67.19,67.19,57.4,2.21,3613000000.0,3613000000.0
84,87,Indonesia,11700,23.7,5.7,0.6890000000000001,0,0,1,0,0,0,0,0,62.04,62.04,53.7,2.69,121500000000.0,121500000000.0
85,88,Tunisia,11600,23.5,27.1,0.725,0,1,0,0,0,0,0,0,64.86,64.86,66.8,1.38,17750000000.0,17750000000.0
86,89,Dominica,11300,21.8,25.8,0.726,0,0,0,0,0,0,1,0,47.4,47.4,69.5,0.84,186500000.0,186500000.0
87,91,Namibia,11300,31.8,18.9,0.64,1,0,0,0,0,0,0,0,61.55,61.55,46.7,4.16,6888000000.0,6888000000.0
88,92,Ecuador,11100,25.2,18.7,0.7390000000000001,0,0,0,0,0,0,1,0,60.67,60.67,63.7,1.9,17740000000.0,17740000000.0
89,93,Bosnia and Herzegovina,11000,18.1,17.9,0.75,0,0,0,0,1,0,0,0,65.79,65.79,39.8,0.14,7765000000.0,7765000000.0
90,94,Georgia,10000,20.6,20.8,0.769,0,0,0,1,0,0,0,0,72.5,72.5,53.6,-0.1,6803000000.0,6803000000.0
91,95,Swaziland,9800,36.8,17.7,0.541,1,0,0,0,0,0,0,0,46.35,46.35,21.3,1.32,1655000000.0,1655000000.0
92,96,Paraguay,9400,24.6,16.3,0.693,0,0,0,0,0,0,1,0,64.43,64.43,59.7,2.1,10200000000.0,10200000000.0
93,97,Fiji,9300,17.0,36.4,0.736,0,0,1,0,0,0,0,0,55.73,55.73,53.7,1.45,2397000000.0,2397000000.0
94,98,Jamaica,9000,27.9,27.2,0.73,0,0,0,0,0,0,1,0,65.39,65.39,54.8,0.9,3772000000.0,3772000000.0
95,99,El Salvador,8900,32.4,21.8,0.68,0,0,0,0,0,0,1,0,65.86,65.86,66.7,1.4,9444000000.0,9444000000.0
96,100,Libya,8700,38.0,33.1,0.716,0,1,0,0,0,0,0,0,52.26,52.26,78.6,1.13,9551000000.0,9551000000.0
97,101,Armenia,8600,24.5,19.5,0.743,0,0,0,1,0,0,0,0,67.09,67.09,62.7,-0.11,2638000000.0,2638000000.0
98,102,Ukraine,8300,12.2,20.1,0.743,0,0,0,1,0,0,0,0,70.6,70.6,69.7,-0.33,38300000000.0,38300000000.0
99,103,Morocco,8300,31.1,22.3,0.647,0,1,0,0,0,0,0,0,67.01,67.01,60.2,2.26,33150000000.0,33150000000.0
100,104,Bhutan,8200,8.7,6.7,0.607,0,0,1,0,0,0,0,0,42.69,42.69,38.6,3.69,1100000000.0,1100000000.0
101,105,Belize,8200,32.4,22.5,0.706,0,0,0,0,0,0,1,0,54.46,54.46,44.0,1.93,895500000.0,895500000.0
102,106,Guyana,7900,32.4,22.9,0.638,0,0,0,0,0,0,1,0,53.6,53.6,28.6,0.76,1440000000.0,1440000000.0
103,107,Guatemala,7900,13.3,18.6,0.64,0,0,0,0,0,0,1,0,63.17,63.17,51.6,3.4,16760000000.0,16760000000.0
104,108,Philippines,7700,15.8,5.1,0.682,0,0,1,0,0,0,0,0,64.08,64.08,44.4,1.32,60950000000.0,60950000000.0
105,109,Angola,6800,20.9,10.2,0.5329999999999999,1,0,0,0,0,0,0,0,42.56,42.56,44.0,4.97,19670000000.0,19670000000.0
106,110,India,6600,13.4,4.9,0.624,0,0,1,0,0,0,0,0,56.77,56.77,32.7,2.38,402400000000.0,402400000000.0
107,111,Nigeria,5900,22.3,11.0,0.527,1,0,0,0,0,0,0,0,54.99,54.99,47.8,4.66,36400000000.0,36400000000.0
108,112,Samoa,5500,16.2,43.4,0.7040000000000001,0,0,1,0,0,0,0,0,46.73,46.73,19.1,-0.24,325300000.0,325300000.0
109,113,Nicaragua,5500,32.4,17.1,0.645,0,0,0,0,0,0,1,0,60.68,60.68,58.8,1.96,6039000000.0,6039000000.0
110,114,Tonga,5400,21.6,43.3,0.721,0,0,1,0,0,0,0,0,42.88,42.88,23.7,0.71,288200000.0,288200000.0
111,115,Honduras,5300,32.4,18.2,0.625,0,0,0,0,0,0,1,0,61.71,61.71,54.7,3.14,11250000000.0,11250000000.0
112,116,Pakistan,5100,26.0,5.4,0.55,0,0,1,0,0,0,0,0,52.53,52.53,38.8,2.81,38250000000.0,38250000000.0
113,117,Ghana,4400,15.6,12.2,0.579,1,0,0,0,0,0,0,0,57.6,57.6,54.0,3.4,13730000000.0,13730000000.0
114,118,Sudan,4400,20.9,7.5,0.49,0,1,0,0,0,0,0,0,38.05,38.05,33.8,2.54,9345000000.0,9345000000.0
115,119,Mauritania,4300,45.1,9.7,0.513,0,1,0,0,0,0,0,0,53.91,53.91,59.9,3.54,1643000000.0,1643000000.0
116,120,Zambia,3900,20.5,8.9,0.579,1,0,0,0,0,0,0,0,56.19,56.19,40.9,4.32,6752000000.0,6752000000.0
117,121,Bangladesh,3900,26.8,3.6,0.579,0,0,1,0,0,0,0,0,45.54,45.54,34.3,3.55,39170000000.0,39170000000.0
118,122,Cambodia,3700,10.3,3.2,0.563,0,0,1,0,0,0,0,0,56.67,56.67,20.7,2.65,12320000000.0,12320000000.0
119,123,Lesotho,3600,7.2,14.2,0.4970000000000001,1,0,0,0,0,0,0,0,51.98,51.98,27.3,3.05,1688000000.0,1688000000.0
120,125,Papua New Guinea,3500,14.7,27.9,0.516,0,0,1,0,0,0,0,0,52.71,52.71,13.0,2.12,1830000000.0,1830000000.0
121,125,Papua New Guinea,3500,14.7,27.9,0.516,0,0,1,0,0,0,0,0,52.71,52.71,13.0,2.12,13.0,13.0
122,126,Djibouti,3400,31.1,9.6,0.473,0,1,0,0,0,0,0,0,49.24,49.24,77.3,1.6,992000000.0,992000000.0
123,127,Kenya,3400,19.2,7.0,0.555,1,0,0,0,0,0,0,0,56.33,56.33,25.6,4.34,14700000000.0,14700000000.0
124,128,Cameroon,3200,30.7,11.4,0.518,1,0,0,0,0,0,0,0,48.6,48.6,54.4,3.6,6630000000.0,6630000000.0
125,129,Tajikistan,3000,24.5,13.6,0.627,0,0,0,1,0,0,0,0,45.47,45.47,26.8,2.62,2340000000.0,2340000000.0
126,130,Vanuatu,2600,8.4,35.4,0.597,0,0,1,0,0,0,0,0,46.07,46.07,26.1,3.42,366800000.0,366800000.0
127,131,Senegal,2600,25.0,9.8,0.494,1,0,0,0,0,0,0,0,63.29,63.29,43.7,3.59,5001000000.0,5001000000.0
128,132,Nepal,2500,4.1,3.3,0.5579999999999999,0,0,1,0,0,0,0,0,46.26,46.26,18.6,3.18,7116000000.0,7116000000.0
129,133,Chad,2400,24.6,8.1,0.396,1,0,0,0,0,0,0,0,41.49,41.49,22.5,2.42,3075000000.0,3075000000.0
130,134,Yemen,2400,31.1,17.2,0.48200000000000004,0,1,0,0,0,0,0,0,52.78,52.78,34.6,4.03,3624000000.0,3624000000.0
131,135,Mali,2300,23.7,6.8,0.442,1,0,0,0,0,0,0,0,51.07,51.07,39.9,5.08,2904000000.0,2904000000.0
132,136,Benin,2100,6.9,9.3,0.485,1,0,0,0,0,0,0,0,51.26,51.26,44.0,3.67,2591000000.0,2591000000.0
133,137,Uganda,2100,20.9,4.9,0.493,1,0,0,0,0,0,0,0,52.66,52.66,16.1,5.43,4677000000.0,4677000000.0
134,138,Rwanda,2000,15.3,4.0,0.498,1,0,0,0,0,0,0,0,53.17,53.17,28.8,6.43,1961000000.0,1961000000.0
135,139,Solomon Islands,2000,35.1,27.7,0.515,0,0,1,0,0,0,0,0,37.83,37.83,22.3,4.25,425700000.0,425700000.0
136,140,Zimbabwe,2000,22.4,10.5,0.516,1,0,0,0,0,0,0,0,51.1,51.1,32.4,2.3,5738000000.0,5738000000.0
137,141,Afghanistan,1900,31.1,2.9,0.479,0,0,1,0,0,0,0,0,35.95,35.95,26.7,3.96,7004000000.0,7004000000.0
138,142,Ethiopia,1900,18.9,4.0,0.44799999999999995,1,0,0,0,0,0,0,0,42.51,42.51,19.5,4.89,14760000000.0,14760000000.0
139,143,Haiti,1800,32.4,11.9,0.493,0,0,0,0,0,0,1,0,46.68,46.68,58.6,3.78,3149000000.0,3149000000.0
140,144,Burkina Faso,1700,18.4,6.3,0.402,1,0,0,0,0,0,0,0,57.18,57.18,29.9,5.87,2872000000.0,2872000000.0
141,145,Kiribati,1800,41.1,40.6,0.588,0,0,1,0,0,0,0,0,40.63,40.63,44.3,1.78,182200000.0,182200000.0
142,146,Sierra Leone,1700,14.2,7.6,0.42,1,0,0,0,0,0,0,0,47.65,47.65,39.9,2.75,1303000000.0,1303000000.0
143,148,Gambia,1700,21.5,10.9,0.452,1,0,0,0,0,0,0,0,50.07,50.07,59.6,4.33,363900000.0,363900000.0
144,149,Togo,1600,10.4,7.5,0.48700000000000004,1,0,0,0,0,0,0,0,56.12,56.12,40.0,3.83,1852000000.0,1852000000.0
145,150,Comoros,1500,14.2,6.6,0.4970000000000001,0,1,0,0,0,0,0,0,36.85,36.85,28.3,2.67,191200000.0,191200000.0
146,151,Madagascar,1500,17.9,5.4,0.512,1,0,0,0,0,0,0,0,46.78,46.78,35.1,4.59,2717000000.0,2717000000.0
147,152,Eritrea,1400,10.7,4.1,0.42,1,0,0,0,0,0,0,0,26.41,26.41,22.6,5.1,1022000000.0,1022000000.0
148,153,Guinea,1300,9.9,6.8,0.414,1,0,0,0,0,0,0,0,47.1,47.1,37.2,3.82,2185000000.0,2185000000.0
149,154,Mozambique,1200,5.8,5.3,0.418,1,0,0,0,0,0,0,0,48.99,48.99,32.2,3.27,5151000000.0,5151000000.0
150,155,Malawi,1100,7.5,5.3,0.47600000000000003,1,0,0,0,0,0,0,0,46.98,46.98,16.3,3.77,2578000000.0,2578000000.0
151,156,Niger,1100,25.1,4.3,0.353,1,0,0,0,0,0,0,0,49.72,49.72,18.7,5.14,1916000000.0,1916000000.0
152,157,Liberia,900,27.5,6.6,0.4270000000000001,1,0,0,0,0,0,0,0,56.05,56.05,49.7,3.36,1250000000.0,1250000000.0
153,158,Burundi,800,20.9,2.6,0.40399999999999997,1,0,0,0,0,0,0,0,38.95,38.95,12.1,5.66,683400000.0,683400000.0
154,158,Burundi,800,20.9,2.6,0.40399999999999997,1,0,0,0,0,0,0,0,38.95,38.95,12.1,5.66,12.1,12.1
155,159,Central African Republic,700,12.0,5.1,0.35200000000000004,1,0,0,0,0,0,0,0,35.58,35.58,40.0,2.59,375300000.0,375300000.0
