,country,Percent_Obese,GDPper_cap,Insufficiently_active,HDI,Region_Africa,Region_Arab_States,Region_Europe,Region_Asia_Pacific,Region_Latin_America,Region_CIS,Globalization_index,Urbanization_Rate,Urban_Population,Imports,log(Imports),log(Imports)*Asia,Asia*Urbanization,UrbanPop*ArabStates,Asia*Globalization,Urbanization*GDPpercap,Europe*GDPpercap,Education
63,Botswana,22.4,17000,27.2,0.698,1,0,0,0,0,0,59.09,1.29,57.4,7194000000.0,22.696513182219842,0.0,0.0,0.0,0.0,12.565849523719477,0,0.619
64,Thailand,8.5,16900,14.8,0.74,0,0,0,1,0,0,68.15,2.97,50.4,171300000000.0,25.866682242276486,25.866682242276486,2.97,0.0,68.15,28.91315463570616,0,0.608
65,Montenegro,20.0,16600,24.5,0.807,0,0,1,0,0,0,62.22,0.34,64.0,1982000000.0,21.407372272854207,0.0,0.0,0.0,0.0,3.3038337112771763,16600,0.774
66,Costa Rica,24.3,16400,32.4,0.7759999999999999,0,0,0,0,1,0,67.67,2.74,76.8,16340000000.0,23.516881926378268,0.0,0.0,0.0,0.0,26.591800321845675,0,0.654
67,Dominican Republic,23.9,16000,35.9,0.722,0,0,0,0,1,0,61.52,2.6,79.0,16670000000.0,23.536876533709115,0.0,0.0,0.0,0.0,25.16889440317699,0,0.59
68,Maldives,7.9,15500,30.7,0.701,0,0,0,1,0,0,47.95,4.49,45.5,1993000000.0,21.41290687817707,21.41290687817707,4.49,0.0,47.95,43.32219291005395,0,0.548
69,Palau,47.6,15400,25.2,0.7879999999999999,0,0,0,1,0,0,43.44,1.66,87.1,177700000.0,18.99560729312488,18.99560729312488,1.66,0.0,43.44,16.005923828746855,0,0.787
70,China,6.9,15400,24.1,0.738,0,0,0,1,0,0,61.23,3.05,55.6,1437000000000.0,27.993578723025436,27.993578723025436,3.05,0.0,61.23,29.40847450462525,0,0.61
71,Brazil,20.0,15200,27.8,0.754,0,0,0,0,1,0,59.64,1.17,85.7,143900000000.0,25.692384450839732,0.0,0.0,0.0,0.0,11.26598932699621,0,0.661
72,Algeria,24.8,15000,34.4,0.745,0,1,0,0,0,0,53.18,2.77,70.7,44600000000.0,24.520999695972428,0.0,0.0,70.7,0.0,26.635781179833643,0,0.643
73,Serbia,19.5,14500,38.7,0.7759999999999999,0,0,1,0,0,0,73.97,-0.34,55.6,17370000000.0,23.578010417199426,0.0,-0.0,0.0,0.0,-3.257847335658947,14500,0.695
74,Colombia,21.0,14100,63.6,0.727,0,0,0,0,1,0,61.68,1.66,76.4,47150000000.0,24.57659984602588,0.0,0.0,0.0,0.0,15.859523926767991,0,0.602
