,country,GDPper_cap,Insufficiently_active,Percent_Obese,HDI,Region_Africa,Region_Arab States,Region_Asia & Pacific,Region_CIS,Region_Europe,Region_North America,Region_South/Latin America,Region_Unknown
105,Belize,8200,32.4,22.5,0.706,0,0,0,0,0,0,1,0
106,Guyana,7900,32.4,22.9,0.638,0,0,0,0,0,0,1,0
107,Guatemala,7900,13.3,18.6,0.64,0,0,0,0,0,0,1,0
108,Philippines,7700,15.8,5.1,0.682,0,0,1,0,0,0,0,0
109,Angola,6800,20.9,10.2,0.5329999999999999,1,0,0,0,0,0,0,0
110,India,6600,13.4,4.9,0.624,0,0,1,0,0,0,0,0
111,Nigeria,5900,22.3,11.0,0.527,1,0,0,0,0,0,0,0
112,Samoa,5500,16.2,43.4,0.7040000000000001,0,0,1,0,0,0,0,0
113,Nicaragua,5500,32.4,17.1,0.645,0,0,0,0,0,0,1,0
114,Tonga,5400,21.6,43.3,0.721,0,0,1,0,0,0,0,0
115,Honduras,5300,32.4,18.2,0.625,0,0,0,0,0,0,1,0
116,Pakistan,5100,26.0,5.4,0.55,0,0,1,0,0,0,0,0
117,Ghana,4400,15.6,12.2,0.579,1,0,0,0,0,0,0,0
118,Sudan,4400,20.9,7.5,0.49,0,1,0,0,0,0,0,0
119,Mauritania,4300,45.1,9.7,0.513,0,1,0,0,0,0,0,0
120,Zambia,3900,20.5,8.9,0.579,1,0,0,0,0,0,0,0
121,Bangladesh,3900,26.8,3.6,0.579,0,0,1,0,0,0,0,0
122,Cambodia,3700,10.3,3.2,0.563,0,0,1,0,0,0,0,0
123,Lesotho,3600,7.2,14.2,0.4970000000000001,1,0,0,0,0,0,0,0
124,Kyrgyzstan,3500,13.3,14.4,0.664,0,0,0,1,0,0,0,0
125,Papua New Guinea,3500,14.7,27.9,0.516,0,0,1,0,0,0,0,0
126,Djibouti,3400,31.1,9.6,0.473,0,1,0,0,0,0,0,0
127,Kenya,3400,19.2,7.0,0.555,1,0,0,0,0,0,0,0
128,Cameroon,3200,30.7,11.4,0.518,1,0,0,0,0,0,0,0
129,Tajikistan,3000,24.5,13.6,0.627,0,0,0,1,0,0,0,0
130,Vanuatu,2600,8.4,35.4,0.597,0,0,1,0,0,0,0,0
131,Senegal,2600,25.0,9.8,0.494,1,0,0,0,0,0,0,0
132,Nepal,2500,4.1,3.3,0.5579999999999999,0,0,1,0,0,0,0,0
133,Chad,2400,24.6,8.1,0.396,1,0,0,0,0,0,0,0
134,Yemen,2400,31.1,17.2,0.482,0,1,0,0,0,0,0,0
135,Mali,2300,23.7,6.8,0.442,1,0,0,0,0,0,0,0
136,Benin,2100,6.9,9.3,0.485,1,0,0,0,0,0,0,0
137,Uganda,2100,20.9,4.9,0.493,1,0,0,0,0,0,0,0
138,Rwanda,2000,15.3,4.0,0.498,1,0,0,0,0,0,0,0
139,Solomon Islands,2000,35.1,27.7,0.515,0,0,1,0,0,0,0,0
140,Zimbabwe,2000,22.4,10.5,0.516,1,0,0,0,0,0,0,0
141,Afghanistan,1900,31.1,2.9,0.479,0,0,1,0,0,0,0,0
142,Ethiopia,1900,18.9,4.0,0.448,1,0,0,0,0,0,0,0
143,Haiti,1800,32.4,11.9,0.493,0,0,0,0,0,0,1,0
144,Burkina Faso,1700,18.4,6.3,0.402,1,0,0,0,0,0,0,0
145,Kiribati,1800,41.1,40.6,0.588,0,0,1,0,0,0,0,0
146,Sierra Leone,1700,14.2,7.6,0.42,1,0,0,0,0,0,0,0
147,South Sudan,1700,20.9,7.5,0.418,1,0,0,0,0,0,0,0
148,Gambia,1700,21.5,10.9,0.452,1,0,0,0,0,0,0,0
149,Togo,1600,10.4,7.5,0.487,1,0,0,0,0,0,0,0
150,Comoros,1500,14.2,6.6,0.4970000000000001,0,1,0,0,0,0,0,0
151,Madagascar,1500,17.9,5.4,0.512,1,0,0,0,0,0,0,0
152,Eritrea,1400,10.7,4.1,0.42,1,0,0,0,0,0,0,0
153,Guinea,1300,9.9,6.8,0.414,1,0,0,0,0,0,0,0
154,Mozambique,1200,5.8,5.3,0.418,1,0,0,0,0,0,0,0
155,Malawi,1100,7.5,5.3,0.476,1,0,0,0,0,0,0,0
156,Niger,1100,25.1,4.3,0.353,1,0,0,0,0,0,0,0
157,Liberia,900,27.5,6.6,0.4270000000000001,1,0,0,0,0,0,0,0
158,Burundi,800,20.9,2.6,0.404,1,0,0,0,0,0,0,0
159,Central African Republic,700,12.0,5.1,0.35200000000000004,1,0,0,0,0,0,0,0
