,Unnamed: 0,Country,Percent_Obese,GDPper_cap,Insufficiently_active,Education,Region_Africa,Region_Arab_States,Region_Europe,Region_Asia,Region_Oceania,Region_Latin_America,Region_CIS,Globalization_index,Urbanization_Rate,Urban_Population,Imports,log(Imports),log(Imports)*Asia,Asia*Urbanization,UrbanPop*ArabStates,Asia*Globalization,Urbanization*GDPpercap,Europe*GDPpercap,log(GDPper_cap),Asia*UrbanPop,ArabStates*Globalization
42,42,Antigua and Barbuda,30.9,25200,32.4,0.6809999999999999,0,0,0,0,0,1,0,52.58,-0.95,23.8,482100000.0,19.993662119375852,0.0,-0.0,0.0,0.0,-9.627869309824538,0,10.134599273499514,0.0,0.0
43,43,Kazakhstan,23.4,25100,20.6,0.762,0,0,0,0,0,0,1,59.1,0.86,53.2,24500000000.0,23.921938954497094,0.0,0.0,0.0,0.0,8.712335887603093,0,10.130623125119875,0.0,0.0
44,44,Turkey,29.5,24900,32.8,0.652,0,1,0,0,0,0,0,70.87,1.97,73.4,197800000000.0,26.010522256135022,0.0,0.0,0.0,0.0,19.941567472432013,24900,10.1226230824528,0.0,0.0
45,45,Bahamas,36.2,24600,43.0,0.7140000000000001,0,0,0,0,0,1,0,52.36,1.53,82.9,2495000000.0,21.637554566149895,0.0,0.0,0.0,0.0,15.469067634538295,0,10.110501721920453,0.0,0.0
46,46,Chile,27.8,24100,21.3,0.746,0,0,0,0,0,1,0,74.14,1.09,89.5,56860000000.0,24.763857943169263,0.0,0.0,0.0,0.0,10.998064160231834,0,10.089967119478747,0.0,0.0
47,47,Panama,26.8,23000,32.4,0.657,0,0,0,0,0,1,0,69.89,2.07,66.1,22080000000.0,23.817938058355306,0.0,0.0,0.0,0.0,20.789526454466362,0,10.043249494911286,0.0,0.0
48,48,Croatia,23.3,22800,16.2,0.77,0,0,1,0,0,0,0,79.04,0.11,59.0,19980000000.0,23.71799761016682,0.0,0.0,0.0,0.0,1.1037967396436785,22800,10.034515814942532,0.0,0.0
49,49,Romania,21.7,22300,25.3,0.748,0,0,1,0,0,0,0,77.88,0.01,54.6,66450000000.0,24.919715622105667,0.0,0.0,0.0,0.0,0.1001234195744821,22300,10.01234195744821,0.0,0.0
50,50,Uruguay,26.7,21500,31.7,0.7120000000000001,0,0,0,0,0,1,0,70.98,0.53,95.3,9075000000.0,22.928789217097325,0.0,0.0,0.0,0.0,5.28717835348135,0,9.975808214115753,0.0,0.0
51,51,Mauritius,17.9,20400,25.2,0.718,1,0,0,0,0,0,0,69.6,-0.08,39.7,4355000000.0,22.194590447250878,0.0,-0.0,0.0,0.0,-0.7938632143865846,0,9.923290179832307,0.0,0.0
52,52,Bulgaria,23.2,20300,21.0,0.7490000000000001,0,0,1,0,0,0,0,79.52,-0.31,73.9,28470000000.0,24.072116738236357,0.0,-0.0,0.0,0.0,-3.074696611159262,20300,9.918376165029878,0.0,0.0
53,53,Argentina,26.3,20000,39.2,0.7829999999999999,0,0,0,0,0,1,0,63.02,1.04,91.8,57230000000.0,24.770344073367422,0.0,0.0,0.0,0.0,10.299627054637572,0,9.903487552536127,0.0,0.0
54,54,Gabon,17.6,19100,26.0,0.589,1,0,0,0,0,0,0,53.19,2.7,87.2,3002000000.0,21.82254457015768,0.0,0.0,0.0,0.0,26.61509775789375,0,9.857443614034722,0.0,0.0
55,55,Mexico,28.1,18900,26.0,0.638,0,0,0,0,0,1,0,70.46,1.57,79.2,372800000000.0,26.644307919757846,0.0,0.0,0.0,0.0,15.459660005644944,0,9.846917201047734,0.0,0.0
56,56,Lebanon,31.9,18500,38.8,0.631,0,1,0,0,0,0,0,67.17,3.18,87.8,17980000000.0,23.612525865989884,0.0,0.0,87.8,0.0,31.245172715191202,0,9.825526011066415,0.0,67.17
57,57,Belarus,23.4,18000,24.5,0.82,0,0,0,0,0,0,1,59.15,0.05,76.7,25440000000.0,23.959588575418334,0.0,0.0,0.0,0.0,0.4899063518439151,0,9.798127036878302,0.0,0.0
58,58,Iraq,23.8,17900,49.3,0.467,0,1,0,0,0,0,0,39.06,3.01,69.5,43270000000.0,24.490725391183204,0.0,0.0,69.5,0.0,29.475593535404826,0,9.792555991828847,0.0,39.06
59,59,Turkmenistan,20.1,17500,31.1,0.679,0,0,0,0,0,0,1,37.43,1.94,50.0,7467000000.0,22.733759148999976,0.0,0.0,0.0,0.0,18.953714950228516,0,9.769956159911606,0.0,0.0
60,60,Azerbaijan,22.5,17400,24.5,0.7,0,0,0,0,0,0,1,59.29,1.56,54.6,7741000000.0,22.769796715168987,0.0,0.0,0.0,0.0,15.23219175691609,0,9.764225485202621,0.0,0.0
61,61,Barbados,31.3,17100,37.6,0.74,0,0,0,0,0,1,0,61.04,0.13,31.5,1575000000.0,21.177521109224006,0.0,0.0,0.0,0.0,1.2670883865237978,0,9.746833742490752,0.0,0.0
62,62,Botswana,22.4,17000,27.2,0.619,1,0,0,0,0,0,0,59.09,1.29,57.4,7194000000.0,22.696513182219842,0.0,0.0,0.0,0.0,12.565849523719477,0,9.740968623038354,0.0,0.0
63,63,Thailand,8.5,16900,14.8,0.608,0,0,0,1,0,0,0,68.15,2.97,50.4,171300000000.0,25.866682242276486,25.866682242276486,2.97,0.0,68.15,28.91315463570616,0,9.735068900911164,50.4,0.0
64,64,Montenegro,20.0,16600,24.5,0.774,0,0,1,0,0,0,0,62.22,0.34,64.0,1982000000.0,21.407372272854207,0.0,0.0,0.0,0.0,3.3038337112771763,16600,9.717157974344635,0.0,0.0
65,65,Costa Rica,24.3,16400,32.4,0.654,0,0,0,0,0,1,0,67.67,2.74,76.8,16340000000.0,23.516881926378268,0.0,0.0,0.0,0.0,26.591800321845675,0,9.70503661381229,0.0,0.0
66,66,Dominican Republic,23.9,16000,35.9,0.59,0,0,0,0,0,1,0,61.52,2.6,79.0,16670000000.0,23.536876533709115,0.0,0.0,0.0,0.0,25.16889440317699,0,9.680344001221918,0.0,0.0
67,67,Maldives,7.9,15500,30.7,0.5479999999999999,0,0,0,1,0,0,0,47.95,4.49,45.5,1993000000.0,21.41290687817707,21.41290687817707,4.49,0.0,47.95,43.32219291005395,0,9.648595302907339,45.5,0.0
68,68,Palau,47.6,15400,25.2,0.787,0,0,0,0,1,0,0,43.44,1.66,87.1,177700000.0,18.99560729312488,0.0,0.0,0.0,0.0,16.005923828746855,0,9.642122788401721,0.0,0.0
69,69,China,6.9,15400,24.1,0.61,0,0,0,1,0,0,0,61.23,3.05,55.6,1437000000000.0,27.993578723025436,27.993578723025436,3.05,0.0,61.23,29.40847450462525,0,9.642122788401721,55.6,0.0
70,70,Brazil,20.0,15200,27.8,0.6609999999999999,0,0,0,0,0,1,0,59.64,1.17,85.7,143900000000.0,25.692384450839732,0.0,0.0,0.0,0.0,11.26598932699621,0,9.629050706834368,0.0,0.0
71,71,Algeria,24.8,15000,34.4,0.643,0,1,0,0,0,0,0,53.18,2.77,70.7,44600000000.0,24.520999695972428,0.0,0.0,70.7,0.0,26.635781179833643,0,9.615805480084347,0.0,53.18
72,72,Serbia,19.5,14500,38.7,0.695,0,0,1,0,0,0,0,73.97,-0.34,55.6,17370000000.0,23.578010417199426,0.0,-0.0,0.0,0.0,-3.257847335658947,14500,9.581903928408666,0.0,0.0
73,73,Colombia,21.0,14100,63.6,0.602,0,0,0,0,0,1,0,61.68,1.66,76.4,47150000000.0,24.57659984602588,0.0,0.0,0.0,0.0,15.859523926767991,0,9.55393007636626,0.0,0.0
74,74,Grenada,26.2,14100,30.5,0.7240000000000001,0,0,0,0,0,1,0,49.9,0.33,35.6,313700000.0,19.563947673160907,0.0,0.0,0.0,0.0,3.152796925200866,0,9.55393007636626,0.0,0.0
75,75,Suriname,26.1,14000,32.4,0.588,0,0,0,0,0,1,0,45.76,0.78,66.0,1914000000.0,21.372461129977175,0.0,0.0,0.0,0.0,7.446513834705969,0,9.546812608597396,0.0,0.0
76,76,South Africa,26.8,13200,46.9,0.695,1,0,0,0,0,0,0,68.63,1.59,64.8,85030000000.0,25.16626997234411,0.0,0.0,0.0,0.0,15.085875652633396,0,9.487972108574462,0.0,0.0
77,77,Peru,21.1,12900,32.4,0.664,0,0,0,0,0,1,0,67.98,1.69,78.6,38350000000.0,24.370020364759675,0.0,0.0,0.0,0.0,15.995820577691099,0,9.464982590349763,0.0,0.0
78,78,Egypt,28.9,12600,32.3,0.573,0,1,0,0,0,0,0,60.87,1.68,43.1,50070000000.0,24.636687863288266,0.0,0.0,43.1,0.0,15.861639516138474,0,9.441452092939569,0.0,60.87
79,79,Mongolia,16.7,12300,21.4,0.6940000000000001,0,0,0,1,0,0,0,65.12,2.78,72.0,3003000000.0,21.822877625947605,21.822877625947605,2.78,0.0,65.12,26.18024562498221,0,9.417354541360508,72.0,0.0
80,80,Jordan,30.5,12300,15.6,0.7,0,1,0,0,0,0,0,74.31,3.79,83.7,17860000000.0,23.605829412394765,0.0,0.0,83.7,0.0,35.691773711756326,0,9.417354541360508,0.0,74.31
81,81,Sri Lanka,6.5,12300,23.8,0.738,0,0,0,1,0,0,0,55.25,0.72,18.4,18640000000.0,23.648575646203856,23.648575646203856,0.72,0.0,55.25,6.780495269779565,0,9.417354541360508,18.4,0.0
82,82,Cuba,25.2,11900,32.4,0.743,0,0,0,0,0,1,0,56.39,0.07,77.1,12340000000.0,23.23611185542365,0.0,0.0,0.0,0.0,0.6569005575369735,0,9.38429367909962,0.0,0.0
83,83,Albania,17.6,11800,24.5,0.609,0,0,1,0,0,0,0,67.19,2.21,57.4,3613000000.0,22.007804289111913,0.0,0.0,0.0,0.0,20.7206391311028,11800,9.375854810453756,0.0,0.0
84,84,Indonesia,5.7,11700,23.7,0.603,0,0,0,1,0,0,0,62.04,2.69,53.7,121500000000.0,25.523180099727014,25.523180099727014,2.69,0.0,62.04,25.19815568491393,0,9.367344120785848,53.7,0.0
85,85,Tunisia,27.1,11600,23.5,0.621,0,1,0,0,0,0,0,64.86,1.38,66.8,17750000000.0,23.599651352867834,0.0,0.0,66.8,0.0,12.915089320390347,0,9.358760377094455,0.0,64.86
86,86,Dominica,25.8,11300,21.8,0.607,0,0,0,0,0,1,0,47.4,0.84,69.5,186500000.0,19.043941797048145,0.0,0.0,0.0,0.0,7.839348723948363,0,9.332558004700433,0.0,0.0
87,87,Namibia,18.9,11300,31.8,0.52,1,0,0,0,0,0,0,61.55,4.16,46.7,6888000000.0,22.65304660407184,0.0,0.0,0.0,0.0,38.8234412995538,0,9.332558004700433,0.0,0.0
88,88,Ecuador,18.7,11100,25.2,0.594,0,0,0,0,0,1,0,60.67,1.9,63.7,17740000000.0,23.599087813827843,0.0,0.0,0.0,0.0,17.697930735870806,0,9.314700387300425,0.0,0.0
89,89,Bosnia and Herzegovina,17.9,11000,18.1,0.655,0,0,1,0,0,0,0,65.79,0.14,39.8,7765000000.0,22.772892293547063,0.0,0.0,0.0,0.0,1.3027910772492712,11000,9.305650551780507,0.0,0.0
90,90,Georgia,20.8,10000,20.6,0.77,0,0,0,0,0,0,1,72.5,-0.1,53.6,6803000000.0,22.640629528309336,0.0,-0.0,0.0,0.0,-0.9210340371976184,0,9.210340371976184,0.0,0.0
91,91,Swaziland,17.7,9800,36.8,0.551,1,0,0,0,0,0,0,46.35,1.32,21.3,1655000000.0,21.227066845775436,0.0,0.0,0.0,0.0,12.130981717349437,0,9.190137664658664,0.0,0.0
92,92,Paraguay,16.3,9400,24.6,0.5870000000000001,0,0,0,0,0,1,0,64.43,2.1,59.7,10200000000.0,23.045653557236637,0.0,0.0,0.0,0.0,19.211776433342,0,9.148464968258095,0.0,0.0
93,93,Fiji,36.4,9300,17.0,0.767,0,0,0,0,1,0,0,55.73,1.45,53.7,2397000000.0,21.59748379239866,0.0,0.0,0.0,0.0,13.249766034754954,0,9.137769679141348,0.0,0.0
94,94,Jamaica,27.2,9000,27.9,0.6679999999999999,0,0,0,0,0,1,0,65.39,0.9,54.8,3772000000.0,22.050871201717623,0.0,0.0,0.0,0.0,8.194481870686522,0,9.104979856318357,0.0,0.0
95,95,El Salvador,21.8,8900,32.4,0.5529999999999999,0,0,0,0,0,1,0,65.86,1.4,66.7,9444000000.0,22.96864545616968,0.0,0.0,0.0,0.0,12.731329178008323,0,9.093806555720231,0.0,0.0
96,96,Libya,33.1,8700,38.0,0.698,0,1,0,0,0,0,0,52.26,1.13,78.6,9551000000.0,22.97991169799901,0.0,0.0,78.6,0.0,10.250318484246222,0,9.071078304642676,0.0,52.26
97,97,Armenia,19.5,8600,24.5,0.701,0,0,0,0,0,0,1,67.09,-0.11,62.7,2638000000.0,21.693286891241534,0.0,-0.0,0.0,0.0,-0.9965469230465759,0,9.0595174822416,0.0,0.0
98,98,Ukraine,20.1,8300,12.2,0.7959999999999999,0,0,0,0,0,0,1,70.6,-0.33,69.7,38300000000.0,24.368715733133012,0.0,-0.0,0.0,0.0,-2.977923561948948,0,9.02401079378469,0.0,0.0
99,99,Morocco,22.3,8300,31.1,0.468,0,1,0,0,0,0,0,67.01,2.26,60.2,33150000000.0,24.224308553578282,0.0,0.0,60.2,0.0,20.394264393953396,0,9.02401079378469,0.0,67.01
100,100,Bhutan,6.7,8200,8.7,0.421,0,0,0,1,0,0,0,42.69,3.69,38.6,1100000000.0,20.818576016750736,20.818576016750736,3.69,0.0,42.69,33.25387200870115,0,9.011889433252344,38.6,0.0
